Profit and Loss,,
"MVR Digital, LLC",,
January 2026,,

Distribution account,January 2026,Total
Income,,
Services,"99,288.93","99,288.93"
Total for Income,"99,288.93","$99,288.93"
Gross Profit,"99,288.93","$99,288.93"
Expenses,,
Advertising,,
Advertising,105.14,105.14
Total for Advertising,105.14,$105.14
Bad Debts,"8,015.13","8,015.13"
bank fees,67.00,67.00
Commissions and fees,,
Referral/broker/selling fees,400.00,400.00
Total for Commissions and fees,400.00,$400.00
Consulting & Accounting,750.00,750.00
Contract labor,"46,098.48","46,098.48"
Deel holding acct,0.00,0.00
Employee Benefits,"1,111.31","1,111.31"
holiday gift,505.00,505.00
Insurance,"2,392.26","2,392.26"
Workers Compensation,47.38,47.38
Total for Insurance,"2,439.64","$2,439.64"
Meals,989.29,989.29
Office expenses,,
Office expenses,65.19,65.19
Total for Office expenses,65.19,$65.19
Other Business Expenses,,
Apps/software/web services,"3,778.28","3,778.28"
Memberships/subscriptions,347.00,347.00
Total for Other Business Expenses,"4,125.28","$4,125.28"
Payroll Processing Fees,111.46,111.46
QuickBooks Payments Fees,246.76,246.76
recruitment expense,"1,000.00","1,000.00"
Salaries & Wages,"15,519.69","15,519.69"
Taxes and licenses,424.61,424.61
Employer Taxes,"1,129.25","1,129.25"
Total for Taxes and licenses,"1,553.86","$1,553.86"
Travel expenses,-35.53,-35.53
Utilities,,
Phone,102.03,102.03
Total for Utilities,102.03,$102.03
Total for Expenses,"83,169.73","$83,169.73"
Net Operating Income,"16,119.20","$16,119.20"
Other Income,,
Late Fee Income,870.78,870.78
Total for Other Income,870.78,$870.78
Net Other Income,870.78,$870.78
Net Income,"16,989.98","$16,989.98"



"Cash Basis Friday, January 30, 2026 11:17 PM GMTZ",,
